Symbol,Start address,End address,Size (byte),Data type,Declaration type,Section,Group,Object File
__Vectors,0x00000000,0x0000003F,64,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
g_vector_table,0x00000040,0x000001BF,384,---,---,.text,Program,./ra_gen/vector_data.o
R_BSP_WarmStart,0x00000240,0x00000257,24,---,---,.text,Program,./src/hal_entry.o
led_control_thread_entry,0x00000258,0x00000313,188,---,---,.text,Program,./src/led_control_thread_entry.o
sw1_callback,0x00000314,0x0000031F,12,---,---,.text,Program,./src/led_control_thread_entry.o
sw2_callback,0x00000320,0x0000032B,12,---,---,.text,Program,./src/led_control_thread_entry.o
uart_control_thread_entry,0x0000032C,0x00000427,252,---,---,.text,Program,./src/uart_control_thread_entry.o
g_common_init,0x00000428,0x00000477,80,---,---,.text,Program,./ra_gen/common_data.o
g_hal_init,0x00000478,0x0000047B,4,---,---,.text,Program,./ra_gen/hal_data.o
led_control_thread_create,0x00000494,0x000004EB,88,---,---,.text,Program,./ra_gen/led_control_thread.o
rtos_startup_err_callback,0x000004EC,---,0,---,---,.text,Program,./ra_gen/main.o
rtos_startup_err_callback_internal,0x000004EC,0x000004EF,4,---,---,.text,Program,./ra_gen/main.o
rtos_startup_common_init,0x000004F0,0x00000557,104,---,---,.text,Program,./ra_gen/main.o
main,0x00000558,0x0000059F,72,---,---,.text,Program,./ra_gen/main.o
vApplicationGetIdleTaskMemory,0x000005A0,0x000005BB,28,---,---,.text,Program,./ra_gen/main.o
vApplicationGetTimerTaskMemory,0x000005BC,0x000005D7,28,---,---,.text,Program,./ra_gen/main.o
uart_control_thread_create,0x000005F0,0x00000647,88,---,---,.text,Program,./ra_gen/uart_control_thread.o
SVC_Handler,0x0000064C,0x00000663,24,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
PendSV_Handler,0x00000664,0x000006A7,68,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
rm_freertos_port_restore_task_stackless,0x000006A8,0x000006CB,36,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
SysTick_Handler,0x000006CC,0x000006EF,36,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
vPortSVCHandler_C,0x000006F0,0x00000723,52,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
pxPortInitialiseStack,0x00000724,0x0000075B,56,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
vPortEnterCritical,0x0000075C,0x000007AB,80,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
vPortExitCritical,0x000007AC,0x000007E7,60,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
rm_freertos_port_sleep_preserving_lpm,0x000007E8,0x00000853,108,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
vApplicationIdleHook,0x00000854,0x0000086B,24,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
vPortSetupTimerInterrupt,0x0000086C,0x000008AF,68,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
xPortStartScheduler,0x000008B0,0x000008EB,60,---,---,.text,Program,./ra/fsp/src/rm_freertos_port/port.o
R_SCI_UART_Read,0x000008EC,0x000008F7,12,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_CallbackSet,0x000008F8,0x00000907,16,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_BaudSet,0x00000908,0x00000953,76,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_InfoGet,0x00000954,0x0000095F,12,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_ReadStop,0x00000960,0x00000973,20,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Abort,0x00000A44,0x00000A73,48,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Close,0x00000A74,0x00000B3F,204,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Write,0x00000B40,0x00000C13,212,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Open,0x00000C14,0x00001003,1008,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_txi_isr,0x00001004,0x00001093,144,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_rxi_isr,0x00001094,0x000011D3,320,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_tei_isr,0x000011D4,0x00001223,80,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_eri_isr,0x00001224,0x0000129B,120,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_IOPORT_Close,0x0000129C,0x000012A7,12,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinRead,0x000012A8,0x000012CB,36,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortRead,0x000012CC,0x000012DF,20,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortWrite,0x000012E0,0x000012FB,28,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinWrite,0x000012FC,0x0000131B,32,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortDirectionSet,0x0000131C,0x00001347,44,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortEventInputRead,0x00001348,0x0000135F,24,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinEventInputRead,0x00001360,0x00001397,56,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortEventOutputWrite,0x00001398,0x000013B3,28,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinEventOutputWrite,0x000013B4,0x000013FF,76,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_Open,0x0000157C,0x0000158F,20,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinsCfg,0x00001590,0x0000159B,12,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinCfg,0x0000159C,0x00001643,168,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_ICU_ExternalIrqOpen,0x00001644,0x000016C7,132,---,---,.text,Program,./ra/fsp/src/r_icu/r_icu.o
R_ICU_ExternalIrqEnable,0x000016C8,0x0000170B,68,---,---,.text,Program,./ra/fsp/src/r_icu/r_icu.o
r_icu_isr,0x0000170C,0x0000177F,116,---,---,.text,Program,./ra/fsp/src/r_icu/r_icu.o
SystemCoreClockUpdate,0x00001780,0x000017A7,40,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_clocks.o
bsp_clock_init,0x000017A8,0x000018B7,272,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_clocks.o
R_BSP_Init_RTC,0x000018B8,0x00001913,92,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_clocks.o
__assert_func,0x00001914,0x00001917,4,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_common.o
bsp_prv_software_delay_loop,0x00001918,0x00001923,12,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_delay.o
R_BSP_SoftwareDelay,0x00001924,0x0000198B,104,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_delay.o
NMI_Handler,0x0000198C,0x000019C3,56,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_group_irq.o
bsp_irq_cfg,0x000019C4,0x00001A63,160,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_irq.o
R_BSP_RegisterProtectEnable,0x00001A64,0x00001AC3,96,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o
R_BSP_RegisterProtectDisable,0x00001AC4,0x00001B17,84,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o
HardFault_Handler,0x00001B18,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
UsageFault_Handler,0x00001B18,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
SecureFault_Handler,0x00001B18,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
Default_Handler,0x00001B18,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
MemManage_Handler,0x00001B18,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
BusFault_Handler,0x00001B18,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
DebugMon_Handler,0x00001B18,0x00001B1B,4,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
Reset_Handler,0x00001B1C,0x00001B27,12,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
SystemInit,0x00001B28,0x00001BEB,196,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/system.o
bsp_init,0x00001BEC,0x00001BEF,4,---,---,.text,Program,./ra/board/ra6m4_ek/board_init.o
vListInitialise,0x00001BF0,0x00001C07,24,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/list.o
vListInitialiseItem,0x00001C08,0x00001C0F,8,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/list.o
vListInsert,0x00001C10,0x00001C3F,48,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/list.o
uxListRemove,0x00001C40,0x00001C67,40,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/list.o
xQueueGenericReset,0x00001D64,0x00001E1F,188,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xQueueGenericCreateStatic,0x00001E20,0x00001E9F,128,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xQueueCreateCountingSemaphoreStatic,0x00001EA0,0x00001F17,120,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xQueueGenericSend,0x00001F18,0x000020AF,408,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xQueueCreateMutexStatic,0x000020B0,0x0000214F,160,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xQueueReceive,0x00002150,0x000022D3,388,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xQueueSemaphoreTake,0x000022D4,0x000024A7,468,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
vQueueAddToRegistry,0x000024A8,0x00002517,112,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
vQueueWaitForMessageRestricted,0x00002518,0x00002567,80,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/queue.o
xTaskCreateStatic,0x000027D0,0x00002A0F,576,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskStartScheduler,0x00002A10,0x00002A9B,140,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskSuspendAll,0x00002A9C,0x00002AAB,16,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskResumeAll,0x00002AAC,0x00002C53,424,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskDelay,0x00002C54,0x00002CA3,80,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskGetTickCount,0x00002CA4,0x00002CAF,12,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskIncrementTick,0x00002CB0,0x00002CCF,32,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskSwitchContext,0x00002CD0,0x00002D5F,144,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskPlaceOnEventList,0x00002D60,0x00002D9B,60,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskPlaceOnEventListRestricted,0x00002D9C,0x00002DFF,100,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskRemoveFromEventList,0x00002E00,0x00002EEB,236,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskInternalSetTimeOutState,0x00002EEC,0x00002F03,24,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskCheckForTimeOut,0x00002F04,0x00002F97,148,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskMissedYield,0x00002F98,0x00002FA3,12,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskGetSchedulerState,0x00002FA4,0x00002FC3,32,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskPriorityInherit,0x00002FC4,0x00003057,148,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTaskPriorityDisinherit,0x00003058,0x00003103,172,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
vTaskPriorityDisinheritAfterTimeout,0x00003104,0x000031BB,184,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
pvTaskIncrementMutexHeldCount,0x000031BC,0x000031D3,24,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/tasks.o
xTimerCreateTimerTask,0x000034C8,0x00003533,108,---,---,.text,Program,./ra/aws/FreeRTOS/FreeRTOS/Source/timers.o
sendAddr,0x00003534,0x0000359B,104,---,---,.text,Program,./QCIOT009_API/rm_qciot009.o
