Object File,Start address,End address,Size (byte),Section,Group
./QCIOT009_API/rm_qciot009.o,0x000016B8,0x0000171F,104,.text,Program
./QCIOT009_API/rm_qciot009.o,0x00001720,0x0000178F,112,.text,Program
./QCIOT009_API/rm_qciot009.o,0x00001EB4,0x00001F12,95,.text,Program
./QCIOT009_API/rm_qciot009.o,0x00001F14,0x00001F1C,9,.text,Program
./QCIOT009_API/rm_qciot009.o,0x00001F20,0x00001F28,9,.text,Program
./QCIOT009_API/rm_qciot009.o,0x2000027C,0x2000027D,2,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009.o,0x20000280,0x20000293,20,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009.o,0x20000294,0x20000297,4,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009.o,0x20000298,0x200002AB,20,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009.o,0x200002AC,0x200002AF,4,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009.o,0x200002B0,0x200002C3,20,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009.o,0x200002C4,0x200002C7,4,.bss,Uninitialized Data
./QCIOT009_API/rm_qciot009_master.o,0x00001790,0x0000181F,144,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x00001820,0x0000189B,124,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x0000189C,0x0000190B,112,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x0000190C,0x000019EB,224,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x00001F2C,0x00001F85,90,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x00001F86,0x00001F98,19,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x00001F88,0x00001F9C,21,.text,Program
./QCIOT009_API/rm_qciot009_master.o,0x00001FA0,0x00001FAB,12,.text,Program
./ra/board/ra6m4_ek/board_init.o,0x000016B4,0x000016B7,4,.text,Program
./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o,0x00000000,0x0000003F,64,.text,Program
./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o,0x000015E0,0x000015E3,4,.text,Program
./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o,0x000015E4,0x000015EF,12,.text,Program
./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o,0x200002C8,0x200006C7,1024,.stack_dummy,Stack
./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/system.o,0x000015F0,0x000016B3,196,.text,Program
./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/system.o,0x20000278,0x2000027B,4,.bss,Uninitialized Data
./ra/fsp/src/bsp/mcu/all/bsp_clocks.o,0x00001248,0x0000126F,40,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_clocks.o,0x00001270,0x0000137F,272,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_clocks.o,0x00001380,0x000013DB,92,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_clocks.o,0x20000014,0x2000002F,28,.noinit,Data
./ra/fsp/src/bsp/mcu/all/bsp_common.o,0x000013DC,0x000013DF,4,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_common.o,0x00001A18,0x00001A67,80,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_delay.o,0x000013E0,0x000013EB,12,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_delay.o,0x000013EC,0x00001453,104,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_group_irq.o,0x00001454,0x0000148B,56,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_group_irq.o,0x200000AC,0x200000EB,64,.bss,Uninitialized Data
./ra/fsp/src/bsp/mcu/all/bsp_io.o,0x200000EC,0x200000EF,4,.bss,Uninitialized Data
./ra/fsp/src/bsp/mcu/all/bsp_irq.o,0x0000148C,0x0000152B,160,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_irq.o,0x200000F0,0x2000026F,384,.bss,Uninitialized Data
./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o,0x0000152C,0x0000158B,96,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o,0x0000158C,0x000015DF,84,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o,0x00001EAC,0x00001EB3,8,.text,Program
./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o,0x20000270,0x20000277,8,.bss,Uninitialized Data
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A100,0x0100A103,4,.option_setting_ofs,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A110,0x0100A113,4,.option_setting_ofs,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A134,0x0100A137,4,.option_setting_sas,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A200,0x0100A203,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A210,0x0100A213,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A240,0x0100A243,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A244,0x0100A247,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A248,0x0100A24B,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A24C,0x0100A24F,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A260,0x0100A263,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A264,0x0100A267,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A268,0x0100A26B,4,.option_setting_s,Others
./ra/fsp/src/bsp/mcu/all/bsp_rom_registers.o,0x0100A26C,0x0100A26F,4,.option_setting_s,Others
