Section,Group,Start address (VMA),End address,Size (byte),Align,Attribute,Load address (LMA)
.vfp11_veneer,Constant,0x00004424,---,0,---,---,---
.v4_bx,Constant,0x00004424,---,0,---,---,---
.text,Program,0x00000000,0x00004423,17444,---,---,---
.stack_dummy,Stack,0x200049D8,0x200055D7,3072,---,---,---
.sdram,Uninitialized Data,0x80010000,---,0,---,---,---
.rel.dyn,Constant,0x01010034,---,0,---,---,---
.qspi_non_retentive,Others,0x60000000,---,0,---,---,0x00004434
.qspi_flash,Others,0x60000000,---,0,---,---,---
.ospi_device_1_non_retentive,Others,0x80030000,---,0,---,---,0x00004434
.OSPI_DEVICE_1_NO_LOAD,Others,0x80030000,---,0,---,---,---
.OSPI_DEVICE_1,Others,0x80030000,---,0,---,---,---
.ospi_device_0_non_retentive,Others,0x80020000,---,0,---,---,0x00004434
.OSPI_DEVICE_0_NO_LOAD,Others,0x80020000,---,0,---,---,---
.OSPI_DEVICE_0,Others,0x80020000,---,0,---,---,---
.option_setting_sas,Others,0x00000034,---,0,---,---,---
.option_setting_s,Others,0x80000000,---,0,---,---,---
.option_setting_ofs,Others,0x00000000,---,0,---,---,---
.option_setting_ns,Others,0x00000000,---,0,---,---,---
.ns_buffer,Others,0x200055D8,---,0,---,---,---
.noinit,Data,0x20004010,0x20004027,24,---,---,---
.itcm_data,Others,0x00000000,---,0,---,---,---
.iplt,Constant,0x00004424,---,0,---,---,---
.igot.plt,Constant,0x20004010,---,0,---,---,0x00004434
.id_code,Others,0x01010018,0x01010033,28,---,---,---
.heap,Uninitialized Data,0x200049D4,0x200049D7,4,---,---,---
.gnu.sgstubs,Others,0x00004800,---,0,---,---,---
.glue_7t,Constant,0x00004424,---,0,---,---,---
.glue_7,Constant,0x00004424,---,0,---,---,---
.fsp_dtc_vector_table,Others,0x20004000,---,0,---,---,---
.dtcm_noinit,Others,0x00000000,---,0,---,---,0x00004434
.dtcm_data,Others,0x00000000,---,0,---,---,0x00004434
.data_flash,Constant,0x40100000,---,0,---,---,---
.data,Initialized Data,0x20004000,0x2000400F,16,---,---,0x00004424
.bss,Uninitialized Data,0x20004028,0x200049D3,2476,---,---,---
