Object File,Start address,End address,Size (byte),Section,Group
./QCIOT009API/rm_qciot009.o,0x00001718,0x0000178B,116,.text,Program
./QCIOT009API/rm_qciot009.o,0x0000178C,0x0000180F,132,.text,Program
./QCIOT009API/rm_qciot009.o,0x00001E8C,0x00001EEA,95,.text,Program
./QCIOT009API/rm_qciot009.o,0x00001EEC,0x00001EF4,9,.text,Program
./QCIOT009API/rm_qciot009.o,0x00001EF8,0x00001F00,9,.text,Program
./QCIOT009API/rm_qciot009.o,0x20004148,0x20004148,1,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x2000414A,0x2000414B,2,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x2000414C,0x2000414C,1,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x20004150,0x20004163,20,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x20004164,0x20004167,4,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x20004168,0x2000417B,20,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x2000417C,0x2000417F,4,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x20004180,0x20004193,20,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x20004194,0x20004197,4,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009.o,0x20004198,0x20004198,1,.bss,Uninitialized Data
./QCIOT009API/rm_qciot009_slave.o,0x00001810,0x000018E7,216,.text,Program
./QCIOT009API/rm_qciot009_slave.o,0x000018E8,0x0000198B,164,.text,Program
./QCIOT009API/rm_qciot009_slave.o,0x0000198C,0x00001B5F,468,.text,Program
./QCIOT009API/rm_qciot009_slave.o,0x00001F04,0x00001F5C,89,.text,Program
./QCIOT009API/rm_qciot009_slave.o,0x00001F5D,0x00001F6F,19,.text,Program
./QCIOT009API/rm_qciot009_slave.o,0x00001F60,0x00001F70,17,.text,Program
./QCIOT009API/rm_qciot009_slave.o,0x00001F74,0x00001F87,20,.text,Program
