Symbol,Start address,End address,Size (byte),Data type,Declaration type,Section,Group,Object File
__Vectors,0x00000000,0x0000003F,64,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
g_vector_table,0x00000040,0x000000BF,128,---,---,.text,Program,./ra_gen/vector_data.o
getCommandData,0x00000550,0x0000055B,12,---,---,.text,Program,./src/demo.o
getCommandLen,0x0000055C,0x0000055F,4,---,---,.text,Program,./src/demo.o
demo,0x00000560,0x000005DB,124,---,---,.text,Program,./src/demo.o
hal_entry,0x000005DC,0x000005E3,8,---,---,.text,Program,./src/hal_entry.o
R_BSP_WarmStart,0x000005E4,0x0000061B,56,---,---,.text,Program,./src/hal_entry.o
main,0x0000061C,0x00000627,12,---,---,.text,Program,./ra_gen/main.o
R_SCI_UART_Read,0x00000628,0x0000062F,8,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_CallbackSet,0x00000630,0x0000063B,12,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_BaudSet,0x0000063C,0x0000067B,64,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_InfoGet,0x0000067C,0x00000687,12,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_ReadStop,0x00000688,0x00000693,12,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Open,0x00000800,0x00000B37,824,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Abort,0x00000B38,0x00000B67,48,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Close,0x00000B68,0x00000C1F,184,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_SCI_UART_Write,0x00000C20,0x00000D0B,236,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_txi_isr,0x00000D0C,0x00000D9F,148,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_rxi_isr,0x00000DA0,0x00000F0F,368,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_tei_isr,0x00000F10,0x00000F63,84,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
sci_uart_eri_isr,0x00000F64,0x00000FE7,132,---,---,.text,Program,./ra/fsp/src/r_sci_uart/r_sci_uart.o
R_IOPORT_Close,0x00000FE8,0x00000FEF,8,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinRead,0x00000FF0,0x00001013,36,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortRead,0x00001014,0x0000102B,24,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortWrite,0x0000102C,0x0000104B,32,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinWrite,0x0000104C,0x00001073,40,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortDirectionSet,0x00001074,0x00001097,36,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortEventInputRead,0x00001098,0x000010AF,24,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinEventInputRead,0x000010B0,0x000010DB,44,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PortEventOutputWrite,0x000010DC,0x000010FB,32,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinEventOutputWrite,0x000010FC,0x00001147,76,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_Open,0x00001240,0x00001257,24,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinsCfg,0x00001258,0x00001263,12,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
R_IOPORT_PinCfg,0x00001264,0x00001303,160,---,---,.text,Program,./ra/fsp/src/r_ioport/r_ioport.o
SystemCoreClockUpdate,0x00001304,0x0000132F,44,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_clocks.o
bsp_clock_init,0x00001330,0x00001437,264,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_clocks.o
R_BSP_Init_RTC,0x00001438,0x00001447,16,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_clocks.o
__assert_func,0x00001448,0x0000144B,4,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_common.o
bsp_prv_software_delay_loop,0x0000144C,0x00001453,8,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_delay.o
R_BSP_SoftwareDelay,0x00001454,0x000014AF,92,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_delay.o
NMI_Handler,0x000014B0,0x000014F7,72,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_group_irq.o
bsp_irq_cfg,0x000014F8,0x0000151F,40,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_irq.o
R_BSP_RegisterProtectEnable,0x00001520,0x00001573,84,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o
R_BSP_RegisterProtectDisable,0x00001574,0x000015BF,76,---,---,.text,Program,./ra/fsp/src/bsp/mcu/all/bsp_register_protection.o
DebugMon_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
HardFault_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
SysTick_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
PendSV_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
UsageFault_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
SecureFault_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
Default_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
MemManage_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
SVC_Handler,0x000015C0,---,0,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
BusFault_Handler,0x000015C0,0x000015C3,4,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
Reset_Handler,0x000015C4,0x000015CF,12,---,---,.text,Program,./ra/fsp/src/bsp/cmsis/Device/RENESAS/Source/startup.o
